member_casual,rideable_type,day_of_week,month,hour_of_day,total_rides,avg_ride_length_minutes
casual,electric_bike,4,1,0,80,13.36
member,classic_bike,4,1,1,54,12.76
member,classic_bike,4,1,16,763,10.99
member,classic_bike,5,1,11,419,8.35
casual,electric_bike,5,1,14,149,9.89
member,classic_bike,6,1,18,542,10.26
member,electric_bike,7,1,17,271,10.01
member,classic_bike,3,1,9,327,9.14
member,electric_bike,3,1,15,389,8.65
member,classic_bike,4,1,13,353,9.57
member,classic_bike,4,1,14,377,11.82
casual,electric_bike,5,1,1,15,8.4
casual,electric_bike,7,1,10,88,11.41
member,classic_bike,7,1,18,253,10.4
member,classic_bike,7,1,20,144,9.8
member,electric_bike,1,1,14,217,7.72
member,electric_bike,2,1,9,241,6.69
casual,electric_bike,3,1,6,38,5.92
member,electric_bike,3,1,10,167,7.99
member,electric_bike,3,1,13,215,7.44
member,classic_bike,5,1,7,680,10.34
member,classic_bike,5,1,18,569,9.89
member,classic_bike,6,1,5,105,10.06
member,classic_bike,2,1,10,218,7.9
casual,classic_bike,3,1,17,87,28.09
member,classic_bike,4,1,15,482,10.65
member,classic_bike,5,1,8,934,10.03
casual,electric_bike,5,1,16,222,8.97
member,electric_bike,5,1,17,939,9.67
member,electric_bike,6,1,22,118,7.85
member,electric_bike,1,1,10,188,8.67
member,electric_bike,1,1,16,243,10.67
casual,electric_bike,2,1,17,84,6.67
member,electric_bike,5,1,12,413,6.89
member,electric_bike,6,1,12,295,7.24
member,electric_bike,7,2,7,136,6.57
member,electric_bike,1,2,9,209,6.89
member,classic_bike,1,2,13,450,10.11
member,classic_bike,2,2,9,413,9.3
member,electric_bike,2,2,16,792,9.16
member,classic_bike,3,2,14,344,10.0
member,classic_bike,3,2,16,821,12.52
member,electric_bike,4,2,10,235,7.82
member,electric_bike,4,2,13,253,7.49
member,classic_bike,6,2,12,407,10.53
member,electric_bike,6,2,20,159,8.39
member,classic_bike,7,2,12,434,10.92
member,classic_bike,7,2,17,302,11.14
member,classic_bike,1,2,15,416,11.46
member,electric_bike,3,2,4,16,7.44
member,classic_bike,4,2,9,398,9.61
member,classic_bike,6,2,17,672,12.88
member,classic_bike,1,2,1,53,24.43
member,electric_bike,2,2,10,208,9.58
member,classic_bike,5,2,12,333,8.65
casual,classic_bike,7,2,1,29,29.52
member,electric_bike,4,2,14,289,7.78
member,electric_bike,4,2,15,463,8.45
member,electric_bike,5,2,6,271,7.09
member,electric_bike,5,2,7,623,7.97
member,electric_bike,5,2,8,703,8.26
member,classic_bike,5,2,17,939,11.01
member,electric_bike,5,2,18,562,8.69
member,classic_bike,7,3,11,888,13.62
member,classic_bike,1,3,9,488,11.08
member,electric_bike,1,3,13,545,10.55
casual,electric_bike,1,3,18,223,14.35
member,classic_bike,1,3,21,206,8.63
casual,electric_bike,2,3,12,184,11.81
member,classic_bike,2,3,15,968,12.41
member,electric_bike,4,3,9,532,7.5
member,classic_bike,4,3,14,414,9.38
member,classic_bike,5,3,7,658,12.43
member,electric_bike,5,3,12,421,8.44
member,classic_bike,6,3,7,631,11.02
member,classic_bike,7,3,20,311,13.2
member,electric_bike,2,3,9,510,8.07
member,classic_bike,2,3,10,445,8.73
member,classic_bike,2,3,13,604,10.2
member,classic_bike,2,3,14,665,12.23
member,electric_bike,3,3,13,338,7.69
member,classic_bike,4,3,13,431,10.92
member,classic_bike,4,3,16,874,12.61
member,classic_bike,5,3,8,983,10.04
member,electric_bike,5,3,19,507,9.6
member,classic_bike,6,3,8,766,10.49
member,classic_bike,6,3,18,1171,14.17
member,electric_bike,1,3,15,409,11.9
member,classic_bike,4,3,10,421,10.18
member,electric_bike,6,3,17,1098,12.3
member,classic_bike,7,3,7,217,11.15
member,electric_bike,1,3,1,66,10.09
member,classic_bike,2,3,16,1542,12.18
member,electric_bike,3,3,14,366,9.68
member,classic_bike,3,3,21,270,9.24
member,classic_bike,5,3,6,296,9.16
casual,electric_bike,5,3,13,160,17.49
member,classic_bike,5,3,18,985,12.05
member,electric_bike,5,3,22,195,8.45
casual,classic_bike,6,3,21,219,25.06
member,electric_bike,7,3,12,648,10.92
member,classic_bike,7,3,18,684,12.46
member,electric_bike,1,3,14,532,9.98
member,classic_bike,3,4,16,2029,12.9
member,electric_bike,4,4,16,1652,9.98
member,electric_bike,5,4,8,1275,9.43
member,electric_bike,5,4,18,983,9.74
member,classic_bike,5,4,19,816,10.66
member,classic_bike,6,4,23,132,23.61
member,electric_bike,7,4,7,151,7.46
member,electric_bike,7,4,8,287,8.43
member,classic_bike,7,4,12,998,13.91
casual,classic_bike,7,4,16,743,28.29
member,classic_bike,7,4,19,554,11.49
member,electric_bike,1,4,9,356,9.99
member,classic_bike,1,4,15,866,15.58
casual,electric_bike,1,4,22,118,11.73
member,electric_bike,2,4,10,285,8.89
member,electric_bike,2,4,15,854,9.82
member,classic_bike,3,4,10,618,10.46
member,classic_bike,3,4,13,835,9.79
member,electric_bike,5,4,7,1181,8.81
member,electric_bike,5,4,11,442,10.65
member,classic_bike,5,4,12,693,10.65
casual,classic_bike,5,4,14,338,35.0
member,classic_bike,5,4,17,1674,12.15
member,electric_bike,6,4,8,901,9.11
member,classic_bike,6,4,12,791,10.68
member,classic_bike,6,4,19,668,11.92
member,electric_bike,7,4,6,107,9.03
member,electric_bike,7,4,11,642,10.08
casual,classic_bike,7,4,15,771,32.65
member,electric_bike,7,4,18,544,10.75
member,classic_bike,1,4,10,758,12.19
member,classic_bike,2,4,9,708,9.66
member,electric_bike,2,4,14,543,9.18
casual,electric_bike,3,4,17,717,12.35
member,classic_bike,4,4,9,821,9.35
member,electric_bike,4,4,13,604,7.85
member,electric_bike,4,4,15,1066,9.15
member,classic_bike,5,4,22,238,9.8
casual,classic_bike,6,4,13,382,32.09
member,classic_bike,6,4,17,1220,11.83
member,classic_bike,7,4,17,817,16.44
member,classic_bike,1,4,13,930,13.82
member,electric_bike,2,4,13,459,9.53
casual,classic_bike,3,4,5,25,15.84
member,electric_bike,3,4,21,394,8.6
member,electric_bike,4,4,14,616,8.94
casual,classic_bike,4,4,17,563,19.45
casual,classic_bike,6,4,16,541,25.1
casual,classic_bike,1,4,11,563,31.36
member,classic_bike,1,4,14,850,13.86
member,classic_bike,1,4,16,888,13.73
member,electric_bike,3,4,9,743,8.44
member,classic_bike,4,4,4,41,9.68
casual,electric_bike,4,4,7,225,7.14
member,electric_bike,4,4,10,396,9.24
member,classic_bike,4,4,21,516,12.34
member,classic_bike,5,5,13,993,11.24
casual,electric_bike,7,5,23,334,13.66
member,classic_bike,1,5,8,423,12.04
casual,electric_bike,1,5,15,670,21.93
member,electric_bike,2,5,8,933,9.04
member,classic_bike,2,5,12,791,13.76
member,electric_bike,2,5,18,999,10.29
member,electric_bike,2,5,20,385,9.48
member,classic_bike,3,5,11,657,10.5
member,electric_bike,3,5,17,1816,11.5
member,electric_bike,3,5,19,592,10.3
member,electric_bike,4,5,8,1239,8.88
member,classic_bike,4,5,12,771,10.46
member,classic_bike,4,5,17,2210,13.45
member,electric_bike,4,5,18,1097,10.2
member,classic_bike,4,5,19,1068,13.59
member,electric_bike,4,5,20,419,9.95
member,electric_bike,5,5,9,757,9.12
member,classic_bike,5,5,15,1294,12.08
member,classic_bike,6,5,13,1164,12.36
member,classic_bike,6,5,16,1843,13.97
casual,classic_bike,6,5,18,1067,25.6
casual,classic_bike,7,5,8,399,30.12
member,electric_bike,7,5,9,655,10.83
member,classic_bike,7,5,15,1298,16.17
member,classic_bike,7,5,16,1308,15.34
member,electric_bike,1,5,17,589,12.42
member,electric_bike,2,5,7,864,8.5
member,electric_bike,2,5,11,475,10.22
member,classic_bike,2,5,19,929,11.58
member,classic_bike,3,5,5,172,12.61
member,classic_bike,3,5,6,557,9.69
casual,electric_bike,3,5,13,316,17.57
member,classic_bike,3,5,18,1645,13.46
member,electric_bike,3,5,23,144,11.55
member,classic_bike,5,5,10,750,11.14
casual,electric_bike,5,5,22,286,12.04
member,electric_bike,6,5,21,455,9.88
member,classic_bike,7,5,13,1350,14.73
member,classic_bike,7,5,14,1305,17.98
member,classic_bike,1,5,6,122,24.33
member,classic_bike,1,5,7,202,13.44
casual,electric_bike,1,5,16,625,19.04
member,classic_bike,1,5,18,696,14.69
member,electric_bike,1,5,23,134,8.67
member,classic_bike,5,5,14,922,12.07
member,electric_bike,5,5,21,509,9.64
casual,classic_bike,6,5,11,717,33.95
member,classic_bike,6,5,14,1246,11.92
casual,classic_bike,7,5,11,1302,37.48
member,electric_bike,7,5,21,379,10.37
casual,electric_bike,7,5,22,298,13.99
member,electric_bike,1,5,12,649,10.67
casual,classic_bike,2,5,15,677,30.85
casual,classic_bike,2,5,16,808,33.04
member,classic_bike,2,5,22,204,10.75
casual,classic_bike,7,5,18,1099,28.37
member,electric_bike,1,6,12,1016,12.82
member,classic_bike,1,6,20,793,13.71
member,electric_bike,2,6,5,253,8.34
member,electric_bike,2,6,7,1497,9.31
member,electric_bike,2,6,8,1544,9.88
member,classic_bike,2,6,22,399,13.34
member,classic_bike,3,6,8,1992,12.1
member,electric_bike,4,6,11,495,10.29
member,classic_bike,5,6,13,1030,12.72
member,classic_bike,5,6,14,1034,14.43
member,classic_bike,5,6,16,1857,14.97
casual,classic_bike,5,6,18,1335,31.88
casual,classic_bike,5,6,20,771,23.7
casual,electric_bike,5,6,23,253,14.31
member,classic_bike,6,6,14,894,14.47
member,classic_bike,6,6,15,1174,13.07
casual,electric_bike,6,6,17,1235,15.5
casual,classic_bike,6,6,18,1429,28.26
member,electric_bike,7,6,9,711,10.8
casual,classic_bike,7,6,11,1852,32.53
member,classic_bike,7,6,14,1415,16.08
casual,classic_bike,1,6,21,486,34.65
casual,classic_bike,2,6,15,906,30.69
member,classic_bike,2,6,19,1858,14.97
casual,electric_bike,3,6,1,47,8.68
member,electric_bike,3,6,17,2239,12.26
member,classic_bike,3,6,18,2275,13.82
member,electric_bike,4,6,6,549,10.02
member,classic_bike,4,6,17,2318,13.84
member,electric_bike,4,6,18,1054,10.86
member,classic_bike,4,6,22,399,12.51
member,classic_bike,5,6,15,1197,13.78
member,classic_bike,7,6,10,1268,14.91
member,classic_bike,7,6,13,1466,15.7
casual,classic_bike,7,6,18,1518,29.79
casual,electric_bike,7,6,23,494,19.64
member,classic_bike,1,6,6,220,14.66
casual,electric_bike,1,6,10,918,19.71
member,classic_bike,1,6,11,1572,14.92
casual,electric_bike,1,6,15,1287,19.49
member,electric_bike,1,6,23,173,10.66
member,classic_bike,2,6,17,3323,14.27
member,electric_bike,2,6,18,1594,11.45
