member_casual,day_of_week,ride_length
casual,Sunday,5061.304364143255
casual,Monday,4752.050438204257
casual,Tuesday,4561.8038572014775
casual,Wednesday,4480.372431729519
casual,Thursday,8451.66685322513
casual,Friday,6090.737301884438
casual,Saturday,4950.770800860982
member,Sunday,972.938335797465
member,Monday,822.311201666214
member,Tuesday,769.4416287683435
member,Wednesday,711.9837902577481
member,Thursday,707.2092742837065
member,Friday,796.7337888996943
member,Saturday,974.0729638294649
